OBJECTID,src_SA1_MAIN16,nbr_SA1_MAIN16,src_SA1_7DIG16,nbr_SA1_7DIG16,LENGTH,NODE_COUNT
37622,21305146707,21305146713,2146707,2146713,0.001043486689649,0
37623,21305146707,21305146718,2146707,2146718,0.003088783493686,0
37624,21305146707,21305146719,2146707,2146719,0.006484054999488,0
37625,21305146707,21305146742,2146707,2146742,0.001530571395068,0
37626,21305146708,21305146711,2146708,2146711,0.003680850020417,0
37627,21305146708,21305146721,2146708,2146721,0.002621705751394,0
37628,21305146708,21305146740,2146708,2146740,0.001831014739152,0
37629,21305146708,21305146743,2146708,2146743,0.004622855309471,0
37630,21305146709,21305146733,2146709,2146733,0.003139821859699,0
37631,21305146709,21305146745,2146709,2146745,0.004142862216558,0
37632,21305146710,21305146713,2146710,2146713,0.000360588142382,0
37633,21305146710,21305146714,2146710,2146714,0.007685994738652,0
37634,21305146710,21305146719,2146710,2146719,0.007341884389603,0
37635,21305146711,21305146721,2146711,2146721,0.000910728506608,0
37636,21305146711,21305146735,2146711,2146735,0.003215286142659,0
37637,21305146711,21305146736,2146711,2146736,0.002607418330498,0
37638,21305146711,21305146740,2146711,2146740,0.002559925280201,0
37639,21305146712,21305146716,2146712,2146716,0.004489434209493,0
37640,21305146712,21305146732,2146712,2146732,0.003073287949658,0
37641,21305146712,21305146741,2146712,2146741,0.004502445811863,0
37642,21305146712,21305146748,2146712,2146748,0.001903511220861,0
37643,21305146713,21305146714,2146713,2146714,0.007677890622266,0
37644,21305146713,21305146719,2146713,2146719,0.002602429728803,0
37645,21305146713,21305146734,2146713,2146734,0.000293438237630,0
37646,21305146713,21305146742,2146713,2146742,0.004860253550773,0
37647,21305146714,21305146727,2146714,2146727,0.009692008858665,0
37648,21305146714,21305146733,2146714,2146733,0.003014532609863,0
37649,21305146714,21305146734,2146714,2146734,0.003126154758586,0
37650,21305146714,21305146739,2146714,2146739,0.006306007153728,0
37651,21305146714,21305146746,2146714,2146746,0.000456983406806,0
37652,21305146715,21305146724,2146715,2146724,0.000509428283765,0
37653,21305146715,21305146735,2146715,2146735,0.001582756423300,0
37654,21305146715,21305146737,2146715,2146737,0.002382318999118,0
37655,21305146715,21305146744,2146715,2146744,0.000000000000000,1
37656,21305146716,21305146732,2146716,2146732,0.004162138945512,0
37657,21305146716,21305146748,2146716,2146748,0.003681951875486,0
37658,21305146717,21305146720,2146717,2146720,0.004720307313353,0
37659,21305146717,21305146725,2146717,2146725,0.004864378572023,0
37660,21305146717,21305146726,2146717,2146726,0.000527605983082,0
37661,21305146717,21305146741,2146717,2146741,0.004954502769949,0
37662,21305146718,21305146742,2146718,2146742,0.004577610365708,0
37663,21305146718,21305146748,2146718,2146748,0.005329003459119,0
37664,21305146720,21305146721,2146720,2146721,0.004465055291501,0
37665,21305146720,21305146722,2146720,2146722,0.003283185665701,0
37666,21305146720,21305146723,2146720,2146723,0.004167508878876,0
37667,21305146720,21305146725,2146720,2146725,0.003966228757218,0
37668,21305146720,21305146729,2146720,2146729,0.006967571166279,0
37669,21305146720,21305146735,2146720,2146735,0.000207532126614,0
37670,21305146720,21305146743,2146720,2146743,0.005020422472977,0
37671,21305146721,21305146735,2146721,2146735,0.004188452205328,0
37672,21305146721,21305146743,2146721,2146743,0.001000197732277,0
37673,21305146722,21305146723,2146722,2146723,0.005088084084367,0
37674,21305146722,21305146725,2146722,2146725,0.003879763631514,0
37675,21305146722,21305146726,2146722,2146726,0.000421540714437,0
37676,21305146722,21305146811,2146722,2146811,0.005675829694363,0
37677,21305146722,21305146813,2146722,2146813,0.000000000000000,1
37678,21305146723,21305146729,2146723,2146729,0.001066733514529,0
37679,21305146723,21305146811,2146723,2146811,0.000000000000000,1
37680,21305146723,21305146813,2146723,2146813,0.005252783351278,0
37681,21305146724,21305146731,2146724,2146731,0.004433091238605,0
37682,21305146724,21305146737,2146724,2146737,0.003012503257284,0
37683,21305146724,21305146738,2146724,2146738,0.001967272225767,0
37684,21305146725,21305146726,2146725,2146726,0.004913258314403,0
37685,21305146726,21305146732,2146726,2146732,0.006972389510174,0
37686,21305146726,21305146741,2146726,2146741,0.001908443530671,0
37687,21305146726,21305146805,2146726,2146805,0.003465284539011,0
37688,21305146726,21305146811,2146726,2146811,0.003512436303531,0
37689,21305146728,21305146730,2146728,2146730,0.001162697970818,0
37690,21305146728,21305146734,2146728,2146734,0.004615648678823,0
37691,21305146729,21305146735,2146729,2146735,0.006101703135240,0
37692,21305146729,21305146813,2146729,2146813,0.000000000000000,1
37693,21305146730,21305146734,2146730,2146734,0.002858262469186,0
37694,21305146730,21305146736,2146730,2146736,0.002883848739523,0
37695,21305146730,21305146740,2146730,2146740,0.004764055640966,0
37696,21305146730,21305146743,2146730,2146743,0.002073449298852,0
37697,21305146730,21305146746,2146730,2146746,0.000070613104349,0
37698,21305146731,21305146737,2146731,2146737,0.004459986334093,0
37699,21305146732,21305146741,2146732,2146741,0.000232604057091,0
