src_SA1_7DIG16,nbr_SA1_7DIG16,LENGTH
2100324,2100328,0.003047378282996
2100325,2100326,0.010667736106506003
2100325,2100328,0.0022852788466650002
2100325,2100329,0.005225321655027
2100326,2100329,0.0067135011266990004
2100326,2100343,0.014778698310944999
2100326,2100346,0.002084063442667
2100326,2100350,0.006575723714372
2100327,2100329,0.003847145709548
2100327,2100334,0.002596999845978
2100327,2100336,0.010014928546258002
2100327,2100347,0.0013827311598790001
2100328,2100329,0.002263691681291
2100328,2100334,0.0
2100328,2100335,0.004238476602452
2100330,2100331,0.0050286011120440005
2100330,2100332,0.004408205973965999
2100331,2100332,0.004553275565042
2100333,2100342,0.003488958947221
2100333,2100344,0.0
2100333,2100346,0.008998251763284
2100333,2100350,0.009122952477041
2100334,2100335,0.007968645589037
2100334,2100336,0.005358615421579001
2100337,2100345,0.004978975242694
2100337,2100347,0.03589302164005
2100337,2100808,0.0
2100337,2100816,0.038867746380537006
2100337,2101017,0.006476465195829001
2100338,2100340,0.003309365644122
2100338,2100341,0.0
2100338,2100349,0.007342487523594001
2100338,2100409,0.0018119393066039998
2100338,2100416,0.0
2100338,2100429,0.005834064842338
2100340,2100341,0.009558646318259001
2100340,2100349,0.0
2100340,2100414,0.0035992283418290003
2100340,2100416,0.005939529512986999
2100340,2100429,0.0
2100341,2100348,0.005981454914035999
2100341,2100349,0.0012144623296099998
2100341,2100351,0.005996948215988001
2100342,2100346,0.01160007100551
2100343,2100350,0.005065057324031
2100344,2100351,0.00670035657511
2100345,2100808,0.003440012213529
2100345,2100816,0.0
2100346,2100350,0.008313397880744
2100348,2100349,0.0016254711413139999
2100348,2100351,0.00272607809076
2100349,2100409,0.001813393078524
2100401,2100402,0.007420287578209001
2100401,2100439,0.0066658512157850005
2100401,2100443,0.0039659408365230004
2100401,2100446,0.001573365471002
2100401,2100447,0.008318028379033001
2100401,2100449,0.0016915482470979998
2100401,2100513,0.010522880249686
2100402,2100438,0.010211182078171
2100402,2100443,0.013576614103426
2100402,2100445,0.005434651626434001
2100402,2100448,0.0
2100402,2100449,0.002053606138157
2100404,2100406,0.006018068951507
2100404,2100408,0.007663580104273001
2100404,2100409,0.008470590052089002
2100404,2100412,0.00264569098062
2100404,2100415,0.007007584539564999
2100404,2100429,0.003910956148211
2100404,2100442,0.008505019587723001
2100404,2100444,0.001294006133628
2100404,2100451,0.0006891588414919999
2100405,2100406,0.007857970795978001
2100405,2100411,0.0035585962732940005
2100405,2100412,0.009241358965105998
2100405,2100430,0.006251695729510999
2100405,2100434,0.007036962240762
2100405,2100443,0.01244707361296
2100406,2100412,0.001614180277818
2100406,2100421,0.001422468500621
2100406,2100443,0.0050631867686879994
2100406,2100444,0.008711521644672
2100407,2100408,0.006766423647319
2100407,2100409,0.0
2100407,2100410,0.004368569627986
2100407,2100411,0.005016865032026
2100407,2100442,0.0
2100408,2100409,0.002559595490131
2100408,2100410,0.0
2100408,2100411,0.0
2100408,2100442,0.006903317575714
2100409,2100410,0.004033365902735999
2100409,2100429,0.001198483577246
2100411,2100412,0.010086142528657
2100411,2100430,0.011636134719386
