src_SA2_MAIN16,nbr_SA2_MAIN16,LENGTH
119011356,119011359,0.0379037086
119011356,119011360,0.0271642764
119011356,119011361,0.0085469703
119011356,127031523,0.0152090437
119011357,119011355,0.0384860538
119011357,119021362,0.0009567965
119011357,119021366,0.0158767451
119011358,119011360,0.0461579771
119011358,119021366,0.0019723664
119011358,119031373,0.0050260717
119011359,119011356,0.0379037086
119011359,119011360,0.0570828754
119011359,127031523,0.0311640291
119011359,127031524,0.0539290494
119011359,128021535,0.0264200113
119011360,119011356,0.0271642764
119011360,119011358,0.0461579771
119011360,119011359,0.0570828754
119011361,119011354,0.0206083455
119011361,119011355,0.0355472257
119011361,119011356,0.0085469703
119011361,125031479,0.0214960212
119021362,119011357,0.0009567965
119021362,119021363,0.0397832903
119021362,119021364,0.0088391334
119021362,119021367,0.0069730598
119021362,120031393,0.0045267771
119021363,119021362,0.0397832903
119021363,119021364,0.0346635098
119021363,120031392,0.0182670339
119021363,120031393,0.0186862198
119021364,117021326,0.0326731874
119021364,119021362,0.0088391334
119021364,119021363,0.0346635098
119021364,119021367,0.020118363
119021364,119031370,0.0066064909
119021364,119041375,0.0256487211
119021364,119041377,0.0497294887
119021364,120031392,0.0158081362
119021364,120031394,0.0021040974
119021366,119011357,0.0158767451
119021366,119011358,0.0019723664
119021366,119021367,0.0202131783
119021366,119031373,0.0235269291
119021367,119021362,0.0069730598
119021367,119021364,0.020118363
119021367,119021366,0.0202131783
119021367,119031370,0.0254286098
119021367,119031373,0.0022574126
119031368,119031369,0.0168023381
119031368,119031370,0.0079685999
119031368,119031371,0
119031368,119031374,0.0156350518
119031368,119041376,0.026106106
119031368,119041377,0.01072425
119031368,119041379,0.009752923
119031369,119031368,0.0168023381
119031369,119031370,0.015706849
119031369,119031371,0.0330949191
119031369,119031372,0.0373291065
119031369,119031374,0
119031370,119021364,0.0066064909
119031370,119021367,0.0254286098
119031370,119031368,0.0079685999
119031370,119031369,0.015706849
119031370,119031372,0.008219353
119031370,119031373,0.0111639754
119031370,119041377,0.0072967535
119031371,119031368,0
119031371,119031369,0.0330949191
119031371,119031374,0.0248195564
119031372,119031369,0.0373291065
119031372,119031370,0.008219353
119031372,119031373,0.0288953632
119031373,119011358,0.0050260717
119031373,119021366,0.0235269291
119031373,119021367,0.0022574126
119031373,119031370,0.0111639754
119031373,119031372,0.0288953632
119031374,119031368,0.0156350518
119031374,119031369,0
119031374,119031371,0.0248195564
119031374,119041379,0.0320311447
119031374,128011531,0.0005721167
119041375,117021326,0.0004615254
119041375,117021328,0.0114102764
119041375,119021364,0.0256487211
119041375,119041376,0.0097420047
119041375,119041377,0.0241411913
119041375,119041380,0.0043374879
119041375,119041381,0.0307148458
119041376,119031368,0.026106106
119041376,119041375,0.0097420047
119041376,119041377,0.0298989417
119041376,119041378,0.0150976268
119041376,119041379,0.0084178485
119041376,119041381,0.0161917001
119041377,119021364,0.0497294887
119041377,119031368,0.01072425
119041377,119031370,0.0072967535
119041377,119041375,0.0241411913
119041377,119041376,0.0298989417
119041378,119041376,0.0150976268
119041378,119041379,0.0223463648
119041378,119041380,0.0134312961
119041378,119041381,0.0180802021
119041378,119041382,0.0062713819
119041379,119031368,0.009752923
119041379,119031374,0.0320311447
119041379,119041376,0.0084178485
119041379,119041378,0.0223463648
119041379,119041382,0.0118191933
119041380,119041375,0.0043374879
119041380,119041378,0.0134312961
119041380,119041381,0.0323314708
119041380,119041382,0.0086950238
119041381,119041375,0.0307148458
119041381,119041376,0.0161917001
119041381,119041378,0.0180802021
119041381,119041380,0.0323314708
119041382,119041378,0.0062713819
119041382,119041379,0.0118191933
119041382,119041380,0.0086950238
120011383,120011384,0.0328097348
120011383,120011386,0.0131506832
120011383,120031391,0.0125544326
120011384,120011383,0.0328097348
120011384,120031396,0.0195098779
120011384,125011473,0.0148646402
120011385,120011386,0.0311620646
120011386,120011383,0.0131506832
120011386,120011385,0.0311620646
120011386,120031390,0.0001997507
120011386,120031391,0.0169077384
120011386,120031395,0.0154183528
120021387,120021389,0.0218000418
120021388,117021327,0.0248893365
120021388,117031331,0.0153036889
120021388,117031332,0.0031054368
120021388,120021389,0.0256414422
120021388,120031394,0.0041602397
120021388,120031395,0.0184224835
120021389,120021387,0.0218000418
120021389,120021388,0.0256414422
120021389,120031395,0.0008050995
120031390,120011386,0.0001997507
120031390,120031391,0.0188609728
120031390,120031392,0.0275628022
120031390,120031393,0.0087311635
120031390,120031394,0.0051248123
120031390,120031395,0.0373876372
120031391,120011383,0.0125544326
120031391,120011386,0.0169077384
120031391,120031390,0.0188609728
120031391,120031393,0.0220014709
120031392,119021363,0.0182670339
120031392,119021364,0.0158081362
120031392,120031390,0.0275628022
120031392,120031393,0.0135191233
120031392,120031394,0.0134576357
120031393,119021362,0.0045267771
120031393,119021363,0.0186862198
120031393,120031390,0.0087311635
120031393,120031391,0.0220014709
120031393,120031392,0.0135191233
120031394,117021326,0.0243935556
120031394,117021327,0.0160454192
120031394,119021364,0.0021040974
120031394,120021388,0.0041602397
120031394,120031390,0.0051248123
120031394,120031392,0.0134576357
120031394,120031395,0.0189943626
120031395,120011386,0.0154183528
120031395,120021388,0.0184224835
120031395,120021389,0.0008050995
120031395,120031390,0.0373876372
120031395,120031394,0.0189943626
120031396,120011384,0.0195098779
120031396,125011473,0.0208046848
121011398,121011399,0.0259135906
121011398,121011400,7.7369633224E-05
121011398,121011401,0.018832684
121011398,121011402,0.04088506
121011398,121031408,0.0204406922
121011399,121011398,0.0259135906
121011399,121011400,0.0341296822
121011399,121031408,0.0254529564
121011399,126021501,0.0282027684
121011400,121011398,7.7369633224E-05
121011400,121011399,0.0341296822
121011400,121011401,0.027520519
121011400,121041414,0.012956656
121011401,121011398,0.018832684
121011401,121011400,0.027520519
121011401,121011402,0.022161062
121011401,121041413,0.007457697
121011401,121041414,0.0141555264
121011402,121011398,0.04088506
121011402,121011401,0.022161062
121011402,121031408,0.0111297296
121011402,121041413,0.0100947576
121021403,115021297,0.0225971685
121021403,115021298,0.0852479606
121021403,121021404,0.0546134012
121021403,121031411,0.0434361776
121021403,121031412,0.021328467
121021404,115021298,0.0212004556
121021404,121021403,0.0546134012
121021406,115021297,0.0234746059
121021406,121031412,0.0337711609
121021406,126011496,0.0497763531
121031407,121031408,0.0728127784
121031407,121031409,0.0611227876
121031407,121031410,0.0396306956
121031407,122031427,0.0089776226
121031407,122031428,0.0105674033
121031407,126021500,0.0166752773
121031408,121011398,0.0204406922
121031408,121011399,0.0254529564
121031408,121011402,0.0111297296
121031408,121031407,0.0728127784
121031408,122031427,0.0230552714
121031408,126021500,0.0170809343
121031408,126021501,0.0110824807
121031409,121031407,0.0611227876
121031409,121031410,0.027335033
121031409,121031411,0.062704321
121031409,126021500,0.0325574632
121031410,121031407,0.0396306956
121031410,121031409,0.027335033
121031410,121031411,0.0598389146
121031410,122031428,0.0582959924
121031410,122031432,0.0401772563
121031411,121021403,0.0434361776
121031411,121031409,0.062704321
121031411,121031410,0.0598389146
121031411,121031412,0.1224147871
121031411,122031432,0.0395659321
121031411,126011495,0.0118126591
121031411,126011496,0.0131923326
121031411,126021500,0.0145375647
121031412,121021403,0.021328467
121031412,121021406,0.0337711609
121031412,121031411,0.1224147871
121031412,126011496,0.0090640481
121041413,121011401,0.007457697
121041413,121011402,0.0100947576
121041413,121041414,0.0134873813
121041413,121041416,0.0314437543
121041414,121011400,0.012956656
121041414,121011401,0.0141555264
121041414,121041413,0.0134873813
121041414,121041416,0.0022247066
121041414,121041417,0.0341493969
121041416,121041413,0.0314437543
121041416,121041414,0.0022247066
121041416,121041417,0.0229200047
121041417,121041414,0.0341493969
121041417,121041416,0.0229200047
122021420,122021422,0.0406645316
122021421,122021423,0.091094036
122021421,122031432,0.2009077883
122021422,122021420,0.0406645316
122021422,122021423,0.0112094089
122021423,122021421,0.091094036
122021423,122021422,0.0112094089
122031424,122031425,0.0347635032
122031424,122031426,0.0142670445
122031424,122031428,0.0272430054
122031425,122031424,0.0347635032
122031425,122031426,0.0090626331
122031425,122031428,0.0404279211
122031425,122031431,0.0359356542
122031425,122031432,0.0260026909
122031426,122031424,0.0142670445
122031426,122031425,0.0090626331
122031426,122031431,0.0064052737
122031427,121031407,0.0089776226
122031427,121031408,0.0230552714
122031427,122031428,0.0645614461
122031428,121031407,0.0105674033
122031428,121031410,0.0582959924
122031428,122031424,0.0272430054
122031428,122031425,0.0404279211
122031428,122031427,0.0645614461
122031428,122031432,0.0716639777
122031431,122031425,0.0359356542
122031431,122031426,0.0064052737
122031432,121031410,0.0401772563
122031432,121031411,0.0395659321
122031432,122021421,0.2009077883
122031432,122031425,0.0260026909
122031432,122031428,0.0716639777
123011433,123011434,0.0376693555
123011433,123011435,0.0099969581
123011433,123031446,0.1053957634
123011433,123031448,0.0860967247
123011433,127011506,0.0801625238
123011434,123011433,0.0376693555
123011434,123011435,0.0867540487
123011434,127011506,0.0959154605
123011435,123011433,0.0099969581
123011435,123011434,0.0867540487
123011435,123021437,0.0261137225
123011435,123021438,0.0360402807
123011435,123021444,0.0319052688
123011435,123031446,0.0391233339
123011435,127011506,0.0283800526
123021436,123021437,0.0404520528
123021436,123021441,0.0230126693
123021436,123021444,0.1411320443
123021436,123031446,0.0152258686
123021437,123011435,0.0261137225
123021437,123021436,0.0404520528
123021437,123021438,0.0537153491
123021437,123021441,0.052982732
123021437,123021443,0.0201133053
123021437,123021444,0.0412039325
123021438,123011435,0.0360402807
123021438,123021437,0.0537153491
123021438,123021440,0.0512039624
123021438,123021443,0.0203707939
123021438,127011506,0.0754929179
123021440,123021438,0.0512039624
123021440,123021441,0.0190206509
123021440,123021442,0.0802651619
123021440,123021443,0.0549812297
123021440,127011506,0.0663903072
123021440,127031522,0.0037632928
123021440,127031524,0.0197105141
123021441,123021436,0.0230126693
123021441,123021437,0.052982732
123021441,123021440,0.0190206509
123021441,123021443,0.05877883
123021441,127031524,0.0073004746
123021442,123021440,0.0802651619
123021442,127031522,0.0464680584
123021442,127031524,0.0998522701
123021443,123021437,0.0201133053
123021443,123021438,0.0203707939
123021443,123021440,0.0549812297
123021443,123021441,0.05877883
123021444,123011435,0.0319052688
123021444,123021436,0.1411320443
123021444,123021437,0.0412039325
123021444,123031446,0.1622224611
123031445,123031446,0.070788577
123031445,123031447,0.1529501991
123031446,123011433,0.1053957634
123031446,123011435,0.0391233339
123031446,123021436,0.0152258686
123031446,123021444,0.1622224611
123031446,123031445,0.070788577
123031446,123031447,0.1775678003
123031446,123031448,0.1268233304
123031447,123031445,0.1529501991
123031447,123031446,0.1775678003
123031447,123031448,0.1971810307
123031447,124021456,0.1853771353
123031448,123011433,0.0860967247
123031448,123031446,0.1268233304
123031448,123031447,0.1971810307
123031448,124021456,0.5360690966
123031448,124031465,0.0959289324
123031448,127011505,0.0314503323
123031448,127011506,0.1274637509
124011449,124011451,0.5622022422
124011449,124011452,0.1616583177
124011449,124021456,0.1904994983
124011450,124011454,0.0825622608
124011450,124021456,0.1399273193
124011450,124031459,0.0841422541
124011451,115031299,0.626996274
124011451,115031300,0.2309985818
124011451,124011449,0.5622022422
124011451,124011452,0.1515483046
124011451,124011453,0.209317285
124011451,124011454,0.2440126979
124011451,124011455,0.177428394
124011451,124041468,0.0549641735
124011452,124011449,0.1616583177
124011452,124011451,0.1515483046
124011452,124011455,0.0193998083
124011452,124021456,0.1864269559
124011453,124011451,0.209317285
124011453,124011454,0.0218947554
124011453,124011455,0.015490276
124011453,124021456,0.2337417163
124011454,124011450,0.0825622608
124011454,124011451,0.2440126979
124011454,124011453,0.0218947554
124011454,124021456,0.1217807754
124011454,124031458,0.0333241135
124011454,124031459,0.0033563427
124011454,124041468,0.0381430509
124011455,124011451,0.177428394
124011455,124011452,0.0193998083
124011455,124011453,0.015490276
124011455,124021456,0.2380365485
124021456,123031447,0.1853771353
124021456,123031448,0.5360690966
124021456,124011449,0.1904994983
124021456,124011450,0.1399273193
124021456,124011452,0.1864269559
124021456,124011453,0.2337417163
124021456,124011454,0.1217807754
124021456,124011455,0.2380365485
124021456,124031459,0.0019791105
124021456,124031463,0.1261522462
124021456,124031465,0.1930613675
124031457,124031458,0.0415399314
124031457,124031462,0.0615398162
124031457,124031464,0.0123231912
124031458,116021312,0.0396976509
124031458,116031316,0.0288667526
124031458,124011454,0.0333241135
124031458,124031457,0.0415399314
124031458,124031459,0.0457191604
124031458,124031464,0.0385424385
124031458,124041468,0.2576189566
124031459,124011450,0.0841422541
124031459,124011454,0.0033563427
124031459,124021456,0.0019791105
124031459,124031458,0.0457191604
124031459,124031460,0.0082235563
124031459,124031461,0.0101360975
124031459,124031463,0.0172540538
124031459,124031464,0.0315022827
124031460,124031459,0.0082235563
124031460,124031461,0.0494108771
