Origin,Destination,Time (min)
128011530,128011531,8.13
128011531,119031374,9.25
128011531,128011529,13.05
128011531,128011530,8.27
128011531,128021536,12.05
128021533,128021537,35.63
128021534,128021535,13.48
128021535,119011359,22.53
128021535,127031524,27.48
128021535,128021534,14.28
128021535,128021538,14.1
128021536,128011529,13.5
128021536,128011531,11.32
128021536,128021538,6.58
128021537,128011529,20.25
128021537,128021533,35.83
128021537,128021538,16.1
128021538,128011529,7.72
128021538,128021535,13.65
128021538,128021536,7.48
128021538,128021537,17.72
117031337,121041417,11.78
122031431,122021423,12.8
121021404,102011030,45.05
120021389,120011385,8.1
120011385,126021498,9.25
126021499,121011400,8.42
128011531,119041382,11.32
128021536,119031371,18.25
128021536,128021535,18.45
128021534,119011358,7.57
119031372,119011358,8.17
