SA1_7DIGITCODE_2016,SA2_MAINCODE_2016
1105624,102021056
1105625,102021056
1105626,102021056
1105627,102021056
1105701,102021057
1105702,102021057
1105703,102021057
1105704,102021057
1105705,102021057
1105706,102021057
1105707,102021057
1105708,102021057
1105709,102021057
1105710,102021057
1105711,102021057
1105712,102021057
1105713,102021057
1105714,102021057
1105715,102021057
1105716,102021057
1105717,102021057
1105718,102021057
1105719,102021057
1105720,102021057
1129001,115011290
1129002,115011290
1129003,115011290
1129004,115011290
1129005,115011290
1129006,115011290
1129007,115011290
1129008,115011290
1129009,115011290
1129010,115011290
1129011,115011290
1129012,115011290
1129013,115011290
1129014,115011290
1129015,115011290
1129016,115011290
1129017,115011290
1129018,115011290
1129019,115011290
1129020,115011290
1129021,115011290
1129022,115011290
1129023,115011290
1129024,115011290
1129025,115011290
1129026,115011290
1129027,115011290
1129028,115011290
1129029,115011290
1129030,115011290
1129031,115011290
1129032,115011290
1129033,115011290
1129034,115011290
1129035,115011290
1129036,115011290
1129037,115011290
1129038,115011290
1129039,115011290
1129040,115011290
1129041,115011290
1129042,115011290
1129043,115011290
1129044,115011290
1129045,115011290
1129046,115011290
1129047,115011290
1129101,115011291
1129102,115011291
1129103,115011291
1129104,115011291
1129105,115011291
1129106,115011291
1129107,115011291
1129108,115011291
1129109,115011291
1129110,115011291
1129111,115011291
1129112,115011291
1129113,115011291
1129114,115011291
1129115,115011291
1129116,115011291
1129117,115011291
1129118,115011291
1129119,115011291
1129120,115011291
1129121,115011291
1129122,115011291
1129123,115011291
1129124,115011291
1129125,115011291
1129128,115011291
1129129,115011291
1129130,115011291
1129131,115011291
1129132,115011291
1129133,115011291
1129134,115011291
1129135,115011291
1129136,115011291
1129137,115011291
1129139,115011291
1129140,115011291
1129141,115011291
1129142,115011291
1129143,115011291
1129144,115011291
1129145,115011291
1129146,115011291
1129147,115011291
1129401,115011294
1129402,115011294
1129403,115011294
1129404,115011294
1129405,115011294
1129406,115011294
1129407,115011294
1129408,115011294
1129409,115011294
1129410,115011294
1129411,115011294
1129412,115011294
1129413,115011294
1129414,115011294
1129415,115011294
1129416,115011294
1129601,115011296
1129602,115011296
1129603,115011296
1129604,115011296
1129605,115011296
1129606,115011296
1129607,115011296
1129608,115011296
1129609,115011296
1129610,115011296
1129611,115011296
1129612,115011296
1129613,115011296
1129614,115011296
1129615,115011296
1129616,115011296
1129617,115011296
1129618,115011296
1129619,115011296
1129620,115011296
1129621,115011296
1129622,115011296
1129623,115011296
1129624,115011296
1129625,115011296
1129626,115011296
1129627,115011296
1129628,115011296
1129629,115011296
1129630,115011296
1129631,115011296
1129632,115011296
1129701,115021297
1129702,115021297
1129703,115021297
1129704,115021297
1129705,115021297
1129706,115021297
1129707,115021297
1129708,115021297
1129709,115021297
1129710,115021297
1129711,115021297
1129712,115021297
1129713,115021297
1129714,115021297
1129715,115021297
1129716,115021297
1129717,115021297
1129718,115021297
1129719,115021297
1129720,115021297
1129721,115021297
1129722,115021297
1129723,115021297
1129724,115021297
1129725,115021297
1129726,115021297
1129727,115021297
1129728,115021297
1129729,115021297
1129730,115021297
1129731,115021297
1129732,115021297
1129733,115021297
1129734,115021297
1129735,115021297
1129736,115021297
1129737,115021297
1129738,115021297
1129739,115021297
1129740,115021297
1129741,115021297
1129742,115021297
1129743,115021297
1129744,115021297
1129745,115021297
1129746,115021297
1129747,115021297
1129748,115021297
1129749,115021297
1129750,115021297
1129751,115021297
1129752,115021297
1129753,115021297
1129754,115021297
1129755,115021297
1129756,115021297
1129757,115021297
1129758,115021297
1129801,115021298
1129802,115021298
1129803,115021298
1129804,115021298
1129805,115021298
1129806,115021298
1129807,115021298
1129808,115021298
1129809,115021298
1129810,115021298
1129811,115021298
1129812,115021298
1129813,115021298
1129814,115021298
1129815,115021298
1129816,115021298
1129817,115021298
1129901,115031299
1129902,115031299
1129903,115031299
