"SA1_id","vote_pc"
"1126701",".363770"
"1128701",".425271"
"1117516",".325037"
"1118311",".269844"
"1113816",".480805"
"1142123",".337525"
"1134859",".583836"
"1107807",".331212"
"1130306",".599370"
"1116617",".317003"
"1143405",".527793"
"1144425",".582719"
"1108112",".480083"
"1134708",".320195"
"1148551",".619743"
"1112144",".534108"
"1111915",".508562"
"1107829",".338445"
"1135047",".595624"
"1151903",".659604"
"1134801",".355714"
"1140745",".299326"
"1140430",".384112"
"1101617",".536659"
"1102525",".523470"
"1122520",".605631"
"1134301",".287309"
"1132631",".654398"
"1140326",".375191"
"1100140",".435705"
"1148941",".598241"
"1121013",".622052"
"1133503",".643230"
"1136718",".676008"
"1130752",".558996"
"1146305",".511420"
"1110903",".684026"
"1146407",".499172"
"1100823",".572390"
"1122606",".634068"
"1105846",".404260"
"1106107",".396560"
"1141210",".284164"
"1123714",".477501"
"1110623",".325219"
"1125831",".331004"
"1148555",".620097"
"1125317",".515983"
"1133109",".666226"
"1150764",".615067"
"1120001",".363374"
"1142855",".352145"
"1129234",".314219"
"1116917",".383232"
"1148912",".575927"
"1153004",".330210"
"1137801",".560848"
"1104801",".563250"
"1144307",".618449"
"1147740",".567947"
"1124912",".489815"
"1104032",".512203"
"1103806",".500802"
"1114101",".697614"
"1127821",".494980"
"1135230",".563807"
"1146303",".370829"
"1121730",".682595"
"1123107",".613312"
"1136226",".680136"
"1111026",".423136"
"1131206",".567094"
"1124626",".497237"
"1121004",".592413"
"1125561",".487272"
"1144217",".608512"
"1151147",".712248"
"1105331",".538280"
"1153222",".417178"
"1146230",".526537"
"1104608",".616094"
"1120850",".594477"
"1136940",".476124"
"1114520",".632900"
"1105715",".568490"
"1149923",".345318"
"1106508",".306937"
"1138014",".349242"
"1100915",".561893"
"1151421",".669786"
"1140931",".278577"
"1120915",".591525"
"1121430",".577748"
"1133940",".345928"
"1107905",".291045"
"1153821",".427002"
"1138802",".666202"
"1123201",".652281"
"1108110",".471380"
"1152876",".322487"
"1149518",".401513"
"1153020",".329162"
"1104718",".545596"
"1142347",".337031"
"1140115",".386855"
"1112156",".531731"
"1147920",".709316"
"1131150",".571223"
"1129632",".287164"
"1125416",".499378"
"1140744",".274516"
"1149541",".396952"
"1125816",".321123"
"1127914",".497370"
"1145028",".563347"
"1148302",".615339"
"1105921",".379159"
"1131320",".724692"
"1131135",".552874"
"1104027",".509054"
"1120825",".608307"
"1114937",".632964"
"1105313",".543148"
"1121516",".645634"
"1110808",".701080"
"1101703",".498236"
"1146618",".418855"
"1141410",".375663"
"1138644",".436111"
"1148903",".565156"
"1120809",".591669"
"1131505",".717422"
"1104726",".542106"
"1135226",".592921"
"1144801",".372872"
"1142640",".356763"
"1126804",".358951"
"1148842",".629874"
"1121020",".602681"
"1130737",".595249"
"1107412",".326352"
"1138017",".549294"
"1146507",".346645"
"1111111",".632929"
"1104012",".522749"
"1138228",".358407"
"1110216",".307560"
"1145841",".485473"
"1124520",".466362"
"1109202",".302283"
"1125518",".508371"
"1136332",".686410"
"1117815",".241327"
"1116621",".337954"
"1116913",".374335"
"1100907",".544946"
"1112154",".524164"
"1111104",".685365"
"1127018",".361139"
"1137025",".547343"
"1152528",".706783"
"1124719",".444948"
"1107734",".328005"
"1131602",".705740"
"1136444",".613059"
"1114706",".617597"
"1126104",".525046"
"1151139",".729364"
"1125815",".320443"
"1146228",".512802"
"1117412",".331486"
"1149117",".607095"
"1124833",".479377"
"1136103",".701232"
"1147268",".710080"
"1151042",".647555"
"1150610",".514888"
"1110002",".303592"
"1126318",".366718"
"1149507",".399911"
"1145832",".515852"
